677,15:06 22/11/2021,SRB,7.1,8.1,6.1,7.3,6.4,2713
269,15:06 22/11/2021,XMC,18.4,21.1,15.7,17.6,15.7,2601
493,15:06 22/11/2021,PWA,17.7,20.3,15.1,17.7,15.1,2498
375,15:06 22/11/2021,MPC,47.6,54.7,40.5,47.2,45.2,2367
799,15:06 22/11/2021,PVM,22.5,25.8,19.2,22.5,20.3,2365
885,15:05 22/11/2021,MCM,60.6,69.6,51.6,60.6,59.4,2123
135,15:06 22/11/2021,VNH,9.2,10.5,7.9,9.9,8.5,1893
670,15:06 22/11/2021,SD7,12.4,14.2,10.6,14.2,10.6,1886
573,15:06 22/11/2021,ABC,14.7,16.9,12.5,14.8,13.5,1735
798,15:06 22/11/2021,TTN,22.4,25.7,19.1,24.5,22.4,1725
40,15:06 22/11/2021,MTA,13.6,15.6,11.6,13.5,12.0,1710
579,15:06 22/11/2021,LPT,24.6,28.2,21.0,28.2,24.0,1638
293,15:06 22/11/2021,TNS,11.9,13.6,10.2,12.6,11.6,1609
675,15:06 22/11/2021,SRT,9.5,10.9,8.1,9.2,8.1,1548
31,15:05 22/11/2021,HND,19.0,21.8,16.2,18.9,18.0,1516
464,15:05 22/11/2021,DRG,23.6,27.1,20.1,24.5,20.8,1506
288,15:06 22/11/2021,STH,11.6,13.3,9.9,11.5,11.1,1481
495,15:06 22/11/2021,PPH,35.9,41.2,30.6,36.0,34.1,1422
828,15:05 22/11/2021,HSV,14.5,16.6,12.4,15.1,14.1,1398
567,15:05 22/11/2021,APF,67.3,77.3,57.3,67.0,61.3,1293
451,15:06 22/11/2021,PVO,11.1,12.7,9.5,10.7,10.1,1279
177,15:06 22/11/2021,HAN,21.4,24.6,18.2,20.9,18.2,1270
78,15:06 22/11/2021,PSP,13.6,15.6,11.6,13.0,12.3,1255
630,15:06 22/11/2021,DID,16.5,18.9,14.1,16.5,14.2,1242
652,15:06 22/11/2021,NDT,36.7,42.2,31.2,36.1,33.0,1196
146,15:06 22/11/2021,VFS,19.0,21.8,16.2,18.9,16.7,1190
787,15:06 22/11/2021,VTP,79.1,90.9,67.3,78.9,77.9,1185
450,15:06 22/11/2021,POS,21.4,24.6,18.2,20.7,18.2,1157
172,15:05 22/11/2021,HAC,18.9,21.7,16.1,19.0,18.1,1154
317,15:05 22/11/2021,BOT,22.8,26.2,19.4,21.8,19.4,1141
