15:04 23/11/2021,VC9,13.9,15.2,12.6,13.9,12.6,2206
15:04 23/11/2021,DVG,22.6,24.8,20.4,22.6,21.6,2149
15:04 23/11/2021,API,92,101.2,82.8,93,83,2080
15:04 23/11/2021,TA9,17.6,19.3,15.9,17,15.9,2068
15:04 23/11/2021,SPI,12.5,13.7,11.3,13.5,12,2046
15:04 23/11/2021,CTC,7.7,8.4,7,7.9,7.3,2029
15:04 23/11/2021,SDA,65,71.5,58.5,65,58.5,1989
15:04 23/11/2021,NVB,30.7,33.7,27.7,31.7,29.7,1987
15:04 23/11/2021,VKC,14.3,15.7,12.9,14.3,12.9,1983
15:04 23/11/2021,KDM,10.3,11.3,9.3,10.4,9.9,1973
15:04 23/11/2021,CET,10.5,11.5,9.5,10.2,9.5,1875
15:04 23/11/2021,KSD,7,7.7,6.3,7.3,6.4,1869
15:04 23/11/2021,THT,13.8,15.1,12.5,14.6,13.2,1869
14:47 23/11/2021,WSS,15.6,17.1,14.1,16.2,14.6,1765
14:46 23/11/2021,DDG,30,33,27,30.7,29.6,1734
15:04 23/11/2021,TDT,14.5,15.9,13.1,14.9,14.4,1691
15:04 23/11/2021,SDT,9.9,10.8,9,10.4,9,1686
14:46 23/11/2021,VC2,51.9,57,46.8,52.3,46.8,1599
15:04 23/11/2021,L18,48.6,53.4,43.8,49.4,44,1410
15:04 23/11/2021,PVI,46.7,51.3,42.1,47.9,46.4,1383
15:04 23/11/2021,SVN,7.2,7.9,6.5,7.1,6.5,1370
15:04 23/11/2021,BTS,11.5,12.6,10.4,12.5,11.1,1365
15:04 23/11/2021,SD4,9.5,10.4,8.6,9.4,8.6,1310
15:04 23/11/2021,VCS,121,133.1,108.9,122.9,120,1261
09:07 24/11/2021,PVS,25.8,28.3,23.3,26.6,26.0,6531
09:07 24/11/2021,SHS,52.0,57.2,46.8,53.8,51.3,6510
09:07 24/11/2021,KLF,6.0,6.6,5.4,6.2,5.9,5395
09:07 24/11/2021,ART,15.3,16.8,13.8,15.9,15.4,3926
09:06 24/11/2021,CMS,19.4,21.3,17.5,21.3,21.3,3568
09:07 24/11/2021,TTH,7.0,7.7,6.3,7.5,7.2,3059
09:07 24/11/2021,IDC,87.3,96.0,78.6,88.3,87.2,2420
09:07 24/11/2021,CEO,32.0,35.2,28.8,34.7,32.0,2320
09:07 24/11/2021,BII,15.0,16.5,13.5,15.7,15.0,2019
09:06 24/11/2021,NRC,29.8,32.7,26.9,30.7,29.9,1877
09:07 24/11/2021,APS,53.9,59.2,48.6,57.0,53.9,1259
09:07 24/11/2021,VGS,44.0,48.4,39.6,47.5,44.5,1212
09:07 24/11/2021,TVC,25.1,27.6,22.6,25.7,25.4,1165
09:07 24/11/2021,VIG,16.0,17.6,14.4,17.0,16.1,1109
09:07 24/11/2021,MBS,43.8,48.1,39.5,45.4,43.9,923
09:06 24/11/2021,TNG,30.1,33.1,27.1,30.9,30.4,852
09:06 24/11/2021,PVC,13.0,14.3,11.7,13.8,13.3,835
09:07 24/11/2021,AMV,13.2,14.5,11.9,13.7,13.2,812
09:07 24/11/2021,SD9,17.3,19.0,15.6,17.3,16.2,526
09:06 24/11/2021,S99,23.8,26.1,21.5,24.3,23.8,417
09:06 24/11/2021,DL1,12.4,13.6,11.2,12.8,12.2,412
09:07 24/11/2021,LIG,17.2,18.9,15.5,17.5,17.2,375
09:06 24/11/2021,DST,7.4,8.1,6.7,7.6,7.3,360
09:06 24/11/2021,MCO,8.4,9.2,7.6,7.6,7.6,349
09:06 24/11/2021,NDN,23.2,25.5,20.9,23.6,23.2,346
09:06 24/11/2021,MBG,13.8,15.1,12.5,14.1,13.6,300
09:06 24/11/2021,HHG,6.9,7.5,6.3,7.2,6.9,296
09:07 24/11/2021,SRA,12.4,13.6,11.2,12.7,12.4,270
09:06 24/11/2021,IPA,71.9,79.0,64.8,73.2,71.9,264
09:07 24/11/2021,HUT,14.8,16.2,13.4,15.0,14.8,256
09:07 24/11/2021,PSI,20.5,22.5,18.5,22.0,20.5,253
09:06 24/11/2021,HBS,17.4,19.1,15.7,18.3,17.4,240
09:07 24/11/2021,BVS,43.3,47.6,39.0,44.8,43.3,239
09:05 24/11/2021,DVG,22.1,24.3,19.9,22.1,21.8,235
09:07 24/11/2021,THD,235.2,258.7,211.7,235.8,235.3,234
09:07 24/11/2021,KSQ,7.9,8.6,7.2,8.6,7.9,226
09:05 24/11/2021,DTC,13.0,14.3,11.7,13.0,11.7,226
09:07 24/11/2021,CSC,127.0,139.7,114.3,135.0,129.0,203
09:06 24/11/2021,PVL,16.0,17.6,14.4,16.9,16.0,181
09:07 24/11/2021,LAS,23.5,25.8,21.2,23.6,23.5,177
09:07 24/11/2021,IDJ,63.5,69.8,57.2,66.0,63.5,176
09:06 24/11/2021,VMC,14.5,15.9,13.1,15.0,15.0,175
09:07 24/11/2021,AAV,27.5,30.2,24.8,28.0,27.5,166
09:07 24/11/2021,VC7,24.5,26.9,22.1,25.1,23.1,160
09:06 24/11/2021,LDP,15.4,16.9,13.9,16.9,16.9,147
09:06 24/11/2021,CVN,13.6,14.9,12.3,14.4,13.7,144
09:05 24/11/2021,BNA,46.0,50.6,41.4,46.1,45.2,126
09:06 24/11/2021,SDA,61.0,67.1,54.9,64.8,59.6,121
09:07 24/11/2021,DXP,23.6,25.9,21.3,23.9,23.6,115
09:07 24/11/2021,TC6,13.6,14.9,12.3,14.3,14.0,108
09:07 24/11/2021,BCC,25.5,28.0,23.0,26.2,25.4,102
09:06 24/11/2021,TAR,36.6,40.2,33.0,37.0,36.6,97
09:05 24/11/2021,FID,7.9,8.6,7.2,8.0,7.9,82
09:04 24/11/2021,DZM,10.0,11.0,9.0,10.4,10.4,80
09:06 24/11/2021,KVC,6.4,7.0,5.8,6.5,6.4,74
09:07 24/11/2021,GKM,30.2,33.2,27.2,30.2,30.2,71
09:05 24/11/2021,WSS,16.1,17.7,14.5,16.5,16.2,68
09:06 24/11/2021,C69,18.6,20.4,16.8,18.8,18.6,68
09:06 24/11/2021,HOM,10.1,11.1,9.1,10.1,10.1,62
09:06 24/11/2021,ITQ,11.1,12.2,10.0,11.4,10.9,61
09:06 24/11/2021,VC3,56.0,61.6,50.4,56.6,56.5,54
09:05 24/11/2021,OCH,9.0,9.9,8.1,9.2,9.0,51
09:05 24/11/2021,VCM,18.5,20.3,16.7,18.0,18.0,50
09:05 24/11/2021,CCR,36.1,39.7,32.5,35.8,32.5,48
09:06 24/11/2021,PV2,7.7,8.4,7.0,8.2,8.0,48
09:06 24/11/2021,NVB,29.8,32.7,26.9,30.1,30.0,47
09:05 24/11/2021,TA9,15.9,17.4,14.4,16.0,16.0,39
09:06 24/11/2021,L14,222.0,244.2,199.8,232.0,222.0,39
09:05 24/11/2021,PHP,29.9,32.8,27.0,30.2,29.9,38
09:06 24/11/2021,SDT,10.2,11.2,9.2,10.3,10.2,38
09:07 24/11/2021,PLC,40.0,44.0,36.0,41.0,40.5,34
09:05 24/11/2021,TKU,38.5,42.3,34.7,41.0,38.5,33
09:06 24/11/2021,VC2,51.5,56.6,46.4,51.5,51.5,31
09:05 24/11/2021,CMC,15.9,17.4,14.4,15.9,15.9,30
09:05 24/11/2021,DTD,45.7,50.2,41.2,45.8,45.8,30
09:05 24/11/2021,PMB,19.2,21.1,17.3,20.5,19.1,30
09:05 24/11/2021,TDT,14.8,16.2,13.4,15.0,14.7,30
09:06 24/11/2021,SD6,9.3,10.2,8.4,10.0,9.3,27
09:05 24/11/2021,APP,11.0,12.1,9.9,11.0,11.0,25
09:06 24/11/2021,CTP,8.0,8.8,7.2,8.3,8.2,25
09:06 24/11/2021,TIG,19.8,21.7,17.9,20.0,19.6,25
09:06 24/11/2021,PVG,15.1,16.6,13.6,15.5,15.1,24
09:05 24/11/2021,PSW,26.7,29.3,24.1,27.8,27.5,23
09:06 24/11/2021,PVI,47.6,52.3,42.9,48.4,47.6,22
09:06 24/11/2021,NDX,13.4,14.7,12.1,13.4,13.3,22
09:06 24/11/2021,SPI,13.5,14.8,12.2,13.9,13.8,20
09:07 24/11/2021,NBC,21.5,23.6,19.4,21.5,21.5,20
09:07 24/11/2021,VKC,14.3,15.7,12.9,14.8,14.3,19
09:05 24/11/2021,UNI,18.0,19.8,16.2,18.6,18.4,19
09:05 24/11/2021,CAG,25.9,28.4,23.4,26.1,26.1,18
09:07 24/11/2021,BAB,24.5,26.9,22.1,24.5,24.5,17
09:05 24/11/2021,CAP,84.2,92.6,75.8,85.1,84.5,14
09:06 24/11/2021,CTC,7.8,8.5,7.1,7.8,7.8,13
09:05 24/11/2021,NTP,60.9,66.9,54.9,61.9,61.9,13
09:05 24/11/2021,TTC,16.6,18.2,15.0,16.6,16.6,12
09:00 24/11/2021,HDA,27.3,30.0,24.6,27.5,27.3,12
09:06 24/11/2021,D11,39.4,43.3,35.5,40.5,39.4,12
09:06 24/11/2021,PGT,12.2,13.4,11.0,12.5,12.5,12
09:06 24/11/2021,KSD,6.9,7.5,6.3,7.0,6.9,11
09:07 24/11/2021,TVD,14.6,16.0,13.2,15.0,14.6,11
09:08 24/11/2021,PVS,25.8,28.3,23.3,26.6,26.0,7932
09:09 24/11/2021,SHS,52.0,57.2,46.8,53.8,51.3,7496
09:08 24/11/2021,KLF,6.0,6.6,5.4,6.2,5.9,5500
09:08 24/11/2021,ART,15.3,16.8,13.8,16.0,15.4,4659
09:09 24/11/2021,CEO,32.0,35.2,28.8,35.0,32.0,4097
09:09 24/11/2021,CMS,19.4,21.3,17.5,21.3,21.3,3677
09:08 24/11/2021,TTH,7.0,7.7,6.3,7.5,7.2,3338
