15:02 23/11/2021,DRG,22,25.3,18.7,22.5,19.6,1421
15:06 23/11/2021,PWA,16.3,18.7,13.9,16.5,15.2,1409
15:06 23/11/2021,HTE,9.5,10.9,8.1,8.8,8.1,1393
15:02 23/11/2021,VLB,45.7,52.5,38.9,45.7,45,1370
15:05 23/11/2021,EIN,19.6,22.5,16.7,20,18,1347
15:06 23/11/2021,PRT,25.9,29.7,22.1,27,23.6,1267
15:06 23/11/2021,SD3,12.4,14.2,10.6,10.6,10.6,1141
15:06 23/11/2021,STH,11.3,12.9,9.7,11.1,10.9,1123
15:02 23/11/2021,MCM,59.9,68.8,51,59.8,59,1104
15:02 23/11/2021,PPH,34.7,39.9,29.5,36,34,1101
15:06 23/11/2021,SRT,8.2,9.4,7,8,7,1063
15:06 23/11/2021,XMC,16.5,18.9,14.1,17.7,15.7,1035
15:02 23/11/2021,VE9,7.5,8.6,6.4,7.3,6.8,1014
15:02 23/11/2021,CMT,31.8,36.5,27.1,29.1,27.1,1003
15:06 23/11/2021,HTG,36,41.4,30.6,35.7,34.1,995
15:02 23/11/2021,ACV,85.8,98.6,73,85.7,84.8,984
15:05 23/11/2021,DID,15.2,17.4,13,15,13.8,978
15:06 23/11/2021,VFS,18.2,20.9,15.5,18.2,17,887
15:06 23/11/2021,NDT,34.3,39.4,29.2,34.7,32.5,801
15:02 23/11/2021,L12,16.1,18.5,13.7,18.5,18.3,774
15:06 23/11/2021,SRB,6.8,7.8,5.8,6.7,5.8,732
15:02 23/11/2021,SGI,32.5,37.3,27.7,31.4,30,713
15:06 23/11/2021,KLB,25.1,28.8,21.4,25.2,24.3,711
15:02 23/11/2021,HNA,13.4,15.4,11.4,13.3,12.9,700
